Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Benjamin Constant (AM);105;8;...;-;-;-;-;-;72;-;-;195;-;-;...;...;5;-;...;...;-;200;-;-;...;-;-;-;-;4;...;...;...;-;20;-;75;...;...;...;-;36;-;-;-;-;-;-;1407;2;...;-;45;-;27;-;...;-;-;-;-;-;-;-;10;54;-;...;-;...;-
Beruri (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Boa Vista do Ramos (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Boca do Acre (AM);108;112;...;-;-;-;-;-;225;-;-;120;-;-;...;...;-;6;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;448;-;720;...;...;...;-;77;38;-;-;-;-;-;1836;6;...;-;72;-;156;-;...;-;-;-;-;-;-;-;12;-;-;...;-;...;-
Borba (AM);50;6;...;-;-;-;-;-;82;-;-;46;-;-;...;...;24;169;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;-;-;-;...;...;...;136;30;-;-;-;-;-;-;4200;-;...;-;72;3;36;-;...;-;-;-;-;-;-;-;50;-;-;...;-;...;-
Caapiranga (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Canutama (AM);18;6;...;-;-;-;-;-;8;-;-;24;105;-;...;...;-;-;...;...;-;30;-;-;...;-;-;-;-;-;...;...;...;-;84;-;15;...;...;...;-;11;9;-;-;-;-;-;4590;-;...;-;-;22;27;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Carauari (AM);15;40;...;-;-;-;-;-;120;-;-;117;80;-;...;...;8;-;...;...;-;100;-;-;...;-;-;-;-;12;...;...;...;-;216;-;108;...;...;...;-;108;144;-;-;-;52;-;3213;30;...;-;75;-;270;-;...;-;-;-;-;-;-;-;12;-;-;...;-;...;-
Careiro (AM);90;8;...;-;-;-;-;-;-;-;-;90;288;-;...;...;56;19;...;...;-;304;-;-;...;-;-;-;-;-;...;...;...;-;28;-;-;...;...;...;6750;90;90;-;-;150;25;-;1377;120;...;-;90;40;72;-;...;-;-;-;-;-;-;-;48;160;-;...;-;...;-
Careiro da Várzea (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Coari (AM);840;6;...;-;-;-;-;-;-;-;-;1380;-;-;...;...;24;-;...;...;-;20;-;-;...;-;-;-;-;-;...;...;...;-;175;-;189;...;...;...;3948;501;324;-;-;-;-;-;1560;-;...;-;90;52;74;-;...;-;-;-;-;-;-;-;-;196;-;...;-;...;-
Codajás (AM);250;9;...;-;-;-;-;-;-;-;-;1117;-;-;...;...;12;-;...;...;-;12;-;-;...;-;-;-;-;-;...;...;...;-;116;-;-;...;...;...;3822;300;144;-;-;352;-;-;948;-;...;-;126;16;50;-;...;-;-;-;-;-;-;-;-;32;-;...;-;...;-
Eirunepé (AM);18;35;...;-;-;-;-;-;240;-;-;188;60;-;...;...;-;6;...;...;-;170;-;-;...;-;-;-;-;20;...;...;...;-;154;-;162;...;...;...;-;90;32;-;-;-;32;-;3488;30;...;-;60;-;240;-;...;-;-;-;-;-;-;-;12;-;-;...;-;...;-
Envira (AM);15;25;...;-;-;-;-;-;192;-;-;94;48;-;...;...;-;-;...;...;-;140;-;-;...;-;-;-;-;8;...;...;...;-;185;-;108;...;...;...;-;36;24;-;-;-;20;-;1211;30;...;-;45;14;210;-;...;-;-;-;-;-;-;-;12;-;-;...;-;...;-
Fonte Boa (AM);30;-;...;-;-;-;-;-;5;-;-;30;43;-;...;...;96;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;30;-;210;...;...;...;-;12;4;-;-;-;-;-;1851;-;...;-;48;-;24;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Guajará (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Humaitá (AM);-;-;...;-;-;-;-;-;132;-;-;70;-;-;...;...;50;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;152;-;600;...;...;...;-;-;-;-;-;-;-;-;561;-;...;-;16;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Ipixuna (AM);12;30;...;-;-;-;-;-;204;-;-;141;56;-;...;...;-;-;...;...;-;120;-;-;...;-;-;-;-;10;...;...;...;-;156;-;90;...;...;...;-;45;24;-;-;-;40;-;1285;36;...;-;42;-;225;-;...;-;-;-;-;-;-;-;12;-;-;...;-;...;-
Iranduba (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Itacoatiara (AM);240;400;...;-;-;-;-;-;210;-;-;215;2480;-;...;...;280;78;...;...;-;516;-;-;...;-;-;-;-;48;...;...;...;-;568;-;1215;...;...;...;9240;33;278;-;-;582;116;-;1805;26;...;-;582;476;217;-;...;-;-;120;-;-;-;-;60;202;-;...;-;...;-
Itamarati (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Itapiranga (AM);200;75;...;-;-;-;-;-;24;-;-;153;-;-;...;...;27;16;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;4;-;45;...;...;...;2073;80;324;-;-;543;108;-;2754;-;...;-;250;-;12;-;...;-;-;-;-;-;-;-;-;16;-;...;-;...;-
Japurá (AM);15;9;...;-;-;-;-;-;15;-;-;46;-;-;...;...;-;-;...;...;-;40;-;-;...;-;-;-;-;8;...;...;...;-;30;-;-;...;...;...;-;11;24;-;-;-;-;-;137;-;...;-;-;-;21;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Juruá (AM);-;48;...;-;-;-;-;-;4;-;-;70;-;-;...;...;-;-;...;...;-;37;-;-;...;-;-;-;-;-;...;...;...;-;6;-;30;...;...;...;-;11;30;-;-;-;1;-;612;30;...;-;72;-;64;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Jutaí (AM);15;-;...;-;-;-;-;-;-;-;-;40;-;-;...;...;28;6;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;10;-;45;...;...;...;27;12;4;-;-;-;-;-;1499;-;...;-;24;-;9;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Lábrea (AM);18;108;...;-;-;-;-;-;32;-;-;75;-;-;...;...;-;6;...;...;-;80;-;-;...;-;-;-;-;-;...;...;...;-;23;-;144;...;...;...;-;12;9;-;-;-;-;-;592;-;...;-;60;-;36;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Manacapuru (AM);270;9;...;-;-;-;-;-;4;-;-;1680;24;-;...;...;39;84;...;...;-;32;-;-;...;-;-;-;-;-;...;...;...;-;20;-;-;...;...;...;21000;216;48;-;-;23742;31;-;5593;12;...;-;60;3;45;-;...;-;-;-;-;-;-;-;96;80;-;...;-;...;-
Manaquiri (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Manaus (AM);63;189;...;-;-;-;-;-;15;-;-;207;288;-;...;...;28;110;...;...;120;1012;-;-;...;-;-;-;-;-;...;...;...;-;30;-;-;...;...;...;1065;72;18;-;-;-;33;-;1393;54;...;-;49;18;6;-;...;-;-;596;-;-;-;-;96;400;-;...;-;...;-
Manicoré (AM);6;-;...;-;-;-;-;-;70;-;-;90;-;-;...;...;50;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;175;-;240;...;...;...;2106;48;-;-;-;-;-;-;734;-;...;-;46;-;-;-;...;-;-;-;-;-;-;-;18;-;-;...;-;...;-
Maraã (AM);30;9;...;-;-;-;-;-;-;-;-;75;-;-;...;...;8;-;...;...;-;24;-;-;...;-;-;-;-;-;...;...;...;-;-;-;210;...;...;...;597;57;18;-;-;-;-;-;1224;9;...;-;42;-;82;-;...;-;-;-;-;-;-;-;12;-;-;...;-;...;-
Maués (AM);270;60;...;-;-;-;-;-;36;-;-;117;86;-;...;...;60;91;...;...;-;28;-;-;...;-;-;-;-;-;...;...;...;-;98;-;24;...;...;...;352;926;288;-;-;-;-;-;612;360;...;-;100;-;34;-;...;-;-;-;-;-;-;-;700;-;-;...;-;...;-
Nhamundá (AM);270;20;...;-;-;-;-;-;32;-;-;211;1360;-;...;...;60;91;...;...;72;300;-;-;...;-;-;-;-;-;...;...;...;-;38;-;27;...;...;...;409;324;76;-;-;561;-;-;4590;57;...;-;48;55;53;-;...;-;-;-;-;-;-;-;168;300;-;...;-;...;-
Nova Olinda do Norte (AM);10;6;...;-;-;-;-;-;76;-;-;40;208;-;...;...;12;26;...;...;-;96;-;-;...;-;-;-;-;-;...;...;...;-;54;-;-;...;...;...;59;15;24;-;-;85;-;-;2832;8;...;-;60;3;39;-;...;-;-;-;-;-;-;-;10;-;-;...;-;...;-
Novo Airão (AM);96;72;...;-;-;-;-;-;-;-;-;94;450;-;...;...;-;-;...;...;-;16;-;-;...;-;-;-;-;24;...;...;...;-;12;-;-;...;...;...;-;120;48;-;-;-;16;-;1713;12;...;-;36;-;48;-;...;-;-;-;-;-;-;-;180;80;-;...;-;...;-
Novo Aripuanã (AM);50;3;...;-;-;-;-;-;12;-;-;56;-;-;...;...;12;6;...;...;-;160;-;-;...;-;-;-;-;-;...;...;...;-;42;-;-;...;...;...;48;30;36;-;-;-;-;-;2265;4;...;-;54;3;24;-;...;-;-;-;-;-;-;-;20;-;-;...;-;...;-
Parintins (AM);300;12;...;-;-;-;-;-;43;-;-;321;480;-;...;...;150;117;...;...;90;1368;-;-;...;-;-;-;-;-;...;...;...;-;28;-;6;...;...;...;7532;486;67;-;-;2700;15;-;6278;252;...;-;80;30;15;-;...;-;-;-;-;-;-;-;150;120;-;...;-;...;-
Pauini (AM);-;4;...;-;-;-;-;-;15;-;-;198;212;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;126;-;-;...;...;...;-;7;4;-;-;-;-;-;1274;-;...;-;24;-;14;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Presidente Figueiredo (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Rio Preto da Eva (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Santa Isabel do Rio Negro (AM);15;12;...;-;-;-;-;-;3;-;-;30;-;-;...;...;-;-;...;...;-;32;-;-;...;-;-;-;-;12;...;...;...;-;44;-;-;...;...;...;-;90;12;-;-;-;-;-;2570;-;...;-;8;-;3;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Santo Antônio do Içá (AM);200;4;...;-;-;-;-;-;15;-;-;30;-;-;...;...;5;-;...;...;-;104;-;-;...;-;-;-;-;-;...;...;...;-;5;-;135;...;...;...;-;60;28;-;-;-;-;-;1285;10;...;-;27;-;9;-;...;-;-;-;-;-;-;-;30;-;-;...;-;...;-
São Gabriel da Cachoeira (AM);120;6;...;-;-;-;-;-;-;-;-;70;-;-;...;...;-;-;...;...;-;48;-;-;...;-;-;-;-;102;...;...;...;-;-;-;-;...;...;...;-;154;24;-;-;-;-;-;795;-;...;-;18;-;-;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
São Paulo de Olivença (AM);40;4;...;-;-;-;-;-;18;-;-;92;-;-;...;...;11;-;...;...;-;160;-;-;...;-;-;-;-;-;...;...;...;-;41;-;180;...;...;...;-;30;12;-;-;-;-;-;1774;6;...;-;27;-;9;-;...;-;-;-;-;-;-;-;6;-;-;...;-;...;-
São Sebastião do Uatumã (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Silves (AM);14;36;...;-;-;-;-;-;50;-;-;61;-;-;...;...;125;30;...;...;-;46;-;-;...;-;-;-;-;-;...;...;...;-;12;-;150;...;...;...;625;300;-;-;-;50;-;-;734;-;...;-;100;-;210;-;...;-;-;-;-;-;-;-;112;-;-;...;-;...;-
Tabatinga (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Tapauá (AM);-;-;...;-;-;-;-;-;5;-;-;47;-;-;...;...;-;-;...;...;-;18;-;-;...;-;-;-;-;-;...;...;...;-;216;-;120;...;...;...;-;11;9;-;-;-;-;-;5664;-;...;-;108;-;22;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Tefé (AM);45;31;...;-;-;-;-;-;30;-;-;138;-;-;...;...;8;-;...;...;-;448;-;-;...;-;-;-;-;2;...;...;...;-;18;-;45;...;...;...;315;23;126;-;-;6;-;-;3978;45;...;-;65;-;22;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Tonantins (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Uarini (AM);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Urucará (AM);30;-;...;-;-;-;-;-;72;-;-;117;-;-;...;...;25;13;...;...;5;-;-;-;...;-;-;-;-;-;...;...;...;-;18;-;-;...;...;...;386;32;-;-;-;-;-;-;1407;27;...;-;16;-;9;-;...;-;-;21;-;-;-;-;60;60;-;...;-;...;-
Urucurituba (AM);70;600;...;-;-;-;-;-;-;-;-;184;-;-;...;...;200;5;...;...;-;15;-;-;...;-;-;-;-;-;...;...;...;-;7;-;90;...;...;...;650;540;-;-;-;1081;-;-;1836;-;...;-;450;-;6;-;...;-;-;-;-;-;-;-;33;-;-;...;-;...;-
Amajari (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Alto Alegre (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Boa Vista (RR);60;60;...;-;-;-;-;-;197;-;-;522;80;-;...;...;-;-;...;...;-;34800;-;-;...;-;-;-;-;36;...;...;...;-;576;-;450;...;...;...;-;294;10;-;-;-;453;-;2880;-;...;-;20;-;303;-;...;-;-;-;-;-;-;-;-;100;-;...;-;...;-
Bonfim (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Cantá (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Caracaraí (RR);110;45;...;-;-;-;-;-;2632;-;-;12;44;-;...;...;-;-;...;...;-;7200;-;-;...;-;-;-;-;-;...;...;...;-;159;-;15;...;...;...;-;6;-;-;-;-;-;-;2520;-;...;-;-;-;687;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Caroebe (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Iracema (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Mucajaí (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Normandia (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Pacaraima (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Rorainópolis (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São João da Baliza (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
São Luiz (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Uiramutã (RR);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Abaetetuba (PA);152;-;...;-;-;-;-;-;2844;-;-;170;-;-;...;...;48;-;...;...;-;12000;-;-;...;-;-;-;-;60;...;...;...;-;-;-;-;...;...;...;-;224;40;-;-;-;-;-;6528;-;...;-;-;-;2720;-;...;-;-;1304;-;-;-;-;-;-;-;...;-;...;-
Abel Figueiredo (PA);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Acará (PA);-;-;...;-;-;-;-;-;1184;-;-;608;-;-;...;...;24;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;-;-;876;...;...;...;-;104;-;-;-;-;-;-;6528;-;...;-;-;-;816;-;...;-;-;10600;-;-;-;-;60;-;-;...;-;...;-
Afuá (PA);-;-;...;-;-;-;-;-;864;-;-;528;-;-;...;...;8;-;...;...;-;250;-;-;...;-;-;-;-;-;...;...;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;160;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Água Azul do Norte (PA);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Alenquer (PA);48;15;...;-;-;-;-;-;2073;-;-;390;64;-;...;...;-;-;...;...;-;6;-;-;...;-;-;-;-;16;...;...;...;-;2709;-;-;...;...;...;1449;552;-;-;-;-;-;-;11676;-;...;-;-;-;4505;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Almeirim (PA);80;4;...;-;-;-;-;-;54;-;-;155;39;-;...;...;4;54;...;...;-;4;-;-;...;-;-;-;-;13;...;...;...;-;27;-;6;...;...;...;106;151;6;-;-;-;25;-;195;-;...;-;8;-;400;-;...;-;-;-;-;-;-;-;-;24;-;...;-;...;-
Altamira (PA);106;5;...;-;-;-;-;-;7588;-;-;579;-;-;...;...;-;162;...;...;-;270;-;-;...;-;-;-;-;168;...;...;...;-;3402;-;80;...;...;...;-;132;9;-;-;-;-;-;979;-;...;-;12;-;1992;-;...;-;-;38;-;-;-;-;8;-;-;...;-;...;-
Anajás (PA);-;-;...;-;-;-;-;-;69;-;-;-;-;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;291;-;...;-;-;-;36;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Ananindeua (PA);-;-;...;-;-;-;-;-;4;-;-;-;-;-;...;...;-;-;...;...;-;-;-;-;...;-;-;-;-;-;...;...;...;-;-;-;-;...;...;...;-;-;-;-;-;-;-;-;324;-;...;-;-;-;1;-;...;-;-;560;-;-;-;-;-;-;-;...;-;...;-
Anapu (PA);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Augusto Corrêa (PA);-;-;...;-;-;3;-;-;124;-;-;9;-;-;...;...;-;-;...;...;-;3;-;-;...;-;-;-;-;11;...;...;...;-;135;-;174;...;...;...;-;34;-;-;-;277;-;-;2760;-;...;-;-;-;1360;-;...;-;-;-;-;-;-;-;-;-;-;...;-;...;-
Aurora do Pará (PA);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
